name,pos,market_value
Ja'Marr Chase,WR,100.0
Justin Jefferson,WR,98.7
CeeDee Lamb,WR,97.4
Bijan Robinson,RB,96.9
Jahmyr Gibbs,RB,94.8
Amon-Ra St. Brown,WR,94.5
Malik Nabers,WR,93.8
Brian Thomas Jr.,WR,93.5
Ashton Jeanty,RB,93.4
Puka Nacua,WR,92.7
Marvin Harrison Jr.,WR,87.9
Garrett Wilson,WR,87.8
Drake London,WR,87.4
Breece Hall,RB,87.2
Nico Collins,WR,86.5
Ladd McConkey,WR,86.4
A.J. Brown,WR,86.3
Josh Allen,QB,86.1
Jaxon Smith-Njigba,WR,85.2
Omarion Hampton,RB,83.3
De'Von Achane,RB,82.8
Brock Bowers,TE,82.7
Bucky Irving,RB,82.3
Lamar Jackson,QB,81.8
Jonathan Taylor,RB,81.8
Saquon Barkley,RB,81.4
Jayden Daniels,QB,81.0
Tetairoa McMillan,WR,80.9
Trey McBride,TE,80.7
Travis Hunter,WR,80.4
Sam LaPorta,TE,79.5
DeVonta Smith,WR,78.9
Patrick Mahomes II,QB,78.2
Rashee Rice,WR,78.0
Jalen Hurts,QB,77.8
Rome Odunze,WR,77.6
Joe Burrow,QB,76.6
Tee Higgins,WR,76.3
Jaylen Waddle,WR,76.2
Christian McCaffrey,RB,75.8
Chris Olave,WR,75.7
Zay Flowers,WR,75.3
DK Metcalf,WR,74.6
Kyren Williams,RB,74.5
James Cook,RB,74.4
Chase Brown,RB,73.7
Jordan Addison,WR,73.1
C.J. Stroud,QB,72.6
DJ Moore,WR,72.5
TreVeyon Henderson,RB,72.4
Josh Jacobs,RB,72.2
Xavier Worthy,WR,72.1
Kenneth Walker III,RB,71.8
Tyreek Hill,WR,71.6
Terry McLaurin,WR,71.6
Justin Herbert,QB,70.7
Jameson Williams,WR,70.4
Emeka Egbuka,WR,70.4
George Pickens,WR,69.9
Brandon Aiyuk,WR,69.8
George Kittle,TE,69.7
Caleb Williams,QB,69.6
T.J. Hockenson,TE,69.4
Tyler Warren,TE,69.2
Kaleb Johnson,RB,68.7
Derrick Henry,RB,68.6
Colston Loveland,TE,68.5
Bo Nix,QB,68.5
Drake Maye,QB,68.4
RJ Harvey,RB,68.2
Dalton Kincaid,TE,68.1
Quinshon Judkins,RB,67.3
Jerry Jeudy,WR,67.2
Michael Pittman Jr.,WR,66.7
Chuba Hubbard,RB,66.5
Davante Adams,WR,66.0
Matthew Golden,WR,65.8
Mike Evans,WR,65.8
Tucker Kraft,TE,65.7
Jordan Love,QB,65.5
David Montgomery,RB,65.3
Luther Burden III,WR,65.3
David Njoku,TE,65.3
